                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8924,                 3.3221,                  1.491,                      1,                0.34128,                0.49405,                0.37533,                 1.0514,                  2.895,                0.96194,             0.00023338,             0.00023338,             0.00023338
                      2,                0.89745,                 1.0596,                  0.906,                      1,                0.09014,                 0.4195,                0.34068,                0.74537,                 2.9135,                0.87025,             0.00048183,             0.00048183,             0.00048183
                      3,                  0.803,                 0.8907,                0.91881,                      1,                0.29123,                0.62782,                0.50971,                 0.8252,                 2.4803,                0.91166,             0.00072864,             0.00072864,             0.00072864
                      4,                0.81631,                0.78095,                0.91234,                      1,                0.45072,                0.82524,                0.66471,                0.76584,                 2.2157,                0.90232,             0.00097379,             0.00097379,             0.00097379
                      5,                0.78682,                0.71143,                0.89191,                      1,                0.47497,                  0.995,                0.77215,                0.77445,                 1.8159,                0.89693,              0.0012173,              0.0012173,              0.0012173
                      6,                 0.7552,                0.68323,                0.89412,                0.99565,                0.74651,                0.99498,                0.80788,                0.66956,                 1.4737,                0.87927,              0.0014592,              0.0014592,              0.0014592
                      7,                0.76743,                0.65078,                0.89283,                0.98946,                      1,                  0.995,                0.79196,                0.65825,                0.86382,                 0.8653,               0.001634,               0.001634,               0.001634
                      8,                0.73272,                0.62559,                0.88237,                0.99469,                      1,                  0.995,                0.79424,                0.68079,                0.72312,                 0.8825,              0.0016285,              0.0016285,              0.0016285
                      9,                0.71209,                0.59897,                0.87481,                 0.9976,                      1,                  0.995,                0.81399,                0.61547,                0.60018,                 0.8534,               0.001623,               0.001623,               0.001623
                     10,                0.74044,                0.61705,                0.88569,                0.99785,                0.99889,                  0.995,                0.81022,                0.64247,                0.51435,                0.86113,              0.0016175,              0.0016175,              0.0016175
                     11,                0.70368,                0.60642,                0.89917,                0.99898,                      1,                  0.995,                0.80946,                 0.6222,                0.43692,                0.85702,               0.001612,               0.001612,               0.001612
                     12,                0.70822,                0.58214,                0.89015,                0.99962,                      1,                  0.995,                0.81017,                0.66078,                 0.4828,                0.87545,              0.0016065,              0.0016065,              0.0016065
                     13,                0.70927,                0.54089,                0.88678,                0.99956,                      1,                  0.995,                0.80884,                0.64779,                0.44232,                0.87858,               0.001601,               0.001601,               0.001601
                     14,                 0.7018,                0.54456,                0.89135,                0.99925,                      1,                  0.995,                0.81004,                0.63764,                0.50287,                0.87251,              0.0015955,              0.0015955,              0.0015955
                     15,                  0.703,                0.55009,                0.89681,                0.99926,                      1,                  0.995,                0.81309,                0.61253,                0.43049,                0.86634,                0.00159,                0.00159,                0.00159
                     16,                0.70756,                0.55248,                0.89691,                0.99928,                      1,                  0.995,                0.82609,                 0.5994,                0.42391,                 0.8562,              0.0015845,              0.0015845,              0.0015845
                     17,                0.67198,                0.49934,                0.87959,                0.99893,                      1,                  0.995,                0.81584,                0.60539,                0.41101,                0.84763,               0.001579,               0.001579,               0.001579
                     18,                0.67384,                0.51249,                0.88536,                0.99921,                      1,                  0.995,                0.83755,                0.57451,                0.43526,                0.84745,              0.0015735,              0.0015735,              0.0015735
                     19,                0.67131,                0.49577,                0.88913,                0.99875,                      1,                  0.995,                  0.828,                0.58687,                 0.3951,                0.84695,               0.001568,               0.001568,               0.001568
                     20,                 0.6433,                0.49041,                0.87732,                0.99925,                      1,                  0.995,                0.82908,                0.57249,                0.37641,                0.84462,              0.0015625,              0.0015625,              0.0015625
                     21,                 0.6406,                0.47367,                0.86811,                0.99884,                      1,                  0.995,                0.82463,                0.59375,                0.38672,                0.84456,               0.001557,               0.001557,               0.001557
                     22,                0.64823,                0.46607,                0.86899,                0.99926,                      1,                  0.995,                0.82091,                0.58889,                0.35701,                0.84925,              0.0015515,              0.0015515,              0.0015515
                     23,                0.63098,                0.45155,                 0.8752,                0.99972,                      1,                  0.995,                0.83427,                0.54912,                0.36537,                0.83702,               0.001546,               0.001546,               0.001546
                     24,                0.62637,                0.44414,                0.87766,                0.99919,                      1,                  0.995,                0.83163,                0.57805,                0.36341,                0.84579,              0.0015405,              0.0015405,              0.0015405
                     25,                0.63681,                0.44449,                0.86972,                 0.9997,                      1,                  0.995,                0.82964,                0.58213,                0.34949,                 0.8446,               0.001535,               0.001535,               0.001535
                     26,                0.61879,                0.42834,                0.86268,                0.99944,                      1,                  0.995,                0.82738,                0.60386,                0.35712,                0.85505,              0.0015295,              0.0015295,              0.0015295
                     27,                0.64883,                0.45321,                0.87381,                0.99969,                      1,                  0.995,                0.83048,                0.57378,                0.38284,                0.84429,               0.001524,               0.001524,               0.001524
                     28,                0.64859,                0.44715,                0.86096,                0.99921,                      1,                  0.995,                0.84019,                0.54701,                0.33715,                0.83638,              0.0015185,              0.0015185,              0.0015185
                     29,                0.63076,                0.44119,                0.87656,                0.99961,                      1,                  0.995,                0.83746,                0.56372,                0.33881,                0.84389,               0.001513,               0.001513,               0.001513
                     30,                0.60793,                 0.4215,                0.86505,                0.99869,                      1,                  0.995,                0.83443,                0.57719,                0.35925,                 0.8435,              0.0015075,              0.0015075,              0.0015075
                     31,                0.61798,                0.40367,                0.85581,                0.99912,                      1,                  0.995,                0.84616,                0.54793,                0.33505,                0.83585,               0.001502,               0.001502,               0.001502
                     32,                0.60172,                0.41321,                0.86451,                0.99907,                      1,                  0.995,                0.84897,                0.56308,                0.33702,                0.83551,              0.0014965,              0.0014965,              0.0014965
                     33,                0.59697,                 0.3931,                0.86799,                 0.9991,                      1,                  0.995,                0.85054,                0.53727,                0.31577,                0.83268,               0.001491,               0.001491,               0.001491
                     34,                0.62928,                0.41381,                0.87157,                 0.9995,                      1,                  0.995,                0.84703,                0.57164,                0.33523,                0.84282,              0.0014855,              0.0014855,              0.0014855
                     35,                0.61878,                 0.3945,                0.86629,                0.99925,                      1,                  0.995,                0.85446,                 0.5633,                0.35914,                0.84706,                0.00148,                0.00148,                0.00148
                     36,                0.63251,                0.40311,                0.86872,                0.99944,                      1,                  0.995,                0.84162,                0.56032,                0.31904,                0.85139,              0.0014745,              0.0014745,              0.0014745
                     37,                0.62549,                0.39671,                0.86916,                0.99926,                      1,                  0.995,                0.83786,                0.58911,                0.33526,                 0.8533,               0.001469,               0.001469,               0.001469
                     38,                0.64086,                0.42039,                0.86279,                0.99933,                      1,                  0.995,                0.83997,                0.58093,                0.32165,                 0.8446,              0.0014635,              0.0014635,              0.0014635
                     39,                 0.6268,                0.40813,                0.86404,                0.99933,                      1,                  0.995,                0.83844,                0.55321,                0.33198,                0.83928,               0.001458,               0.001458,               0.001458
                     40,                 0.6004,                0.38897,                0.86622,                0.99947,                      1,                  0.995,                0.86049,                0.53604,                0.30652,                0.83454,              0.0014525,              0.0014525,              0.0014525
                     41,                0.59048,                 0.3772,                0.85867,                0.99954,                      1,                  0.995,                0.85891,                0.52499,                0.31338,                0.82959,               0.001447,               0.001447,               0.001447
                     42,                0.58703,                0.37609,                0.85748,                0.99949,                      1,                  0.995,                0.85665,                0.53271,                0.30588,                0.83274,              0.0014415,              0.0014415,              0.0014415
                     43,                0.57022,                0.36452,                0.84804,                0.99907,                      1,                  0.995,                0.85346,                0.55569,                0.32831,                0.84218,               0.001436,               0.001436,               0.001436
                     44,                0.58805,                0.36695,                0.84603,                0.99933,                      1,                  0.995,                0.84938,                 0.5664,                0.31994,                0.84117,              0.0014305,              0.0014305,              0.0014305
                     45,                0.58265,                 0.3627,                 0.8547,                0.99931,                      1,                  0.995,                0.85893,                0.54148,                0.30538,                0.83594,               0.001425,               0.001425,               0.001425
                     46,                0.61969,                0.37546,                0.87385,                0.99929,                      1,                  0.995,                0.84416,                0.59003,                0.31795,                0.84518,              0.0014195,              0.0014195,              0.0014195
